tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Globo FC,2.0,0.0,Internacional,2.0,1.0,113.0,147.0,9.0,9.0,00:30:00,2022-03-04,2.0,-2.0,WON,LOST,3.0
Copa do Brasil,Castanhal,1.0,1.0,Vitoria EC,5.0,3.0,80.0,53.0,10.0,9.0,23:30:00,2022-03-03,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Uniao Rondonopolis,0.0,3.0,Atletico Goianiense,7.0,4.0,112.0,152.0,9.0,8.0,22:00:00,2022-03-03,-3.0,3.0,LOST,WON,11.0
Copa do Brasil,Nova Venecia FC,2.0,1.0,Ferroviario,7.0,5.0,68.0,64.0,8.0,6.0,18:30:00,2022-03-03,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,Portuguesa RJ,1.0,0.0,CRB,11.0,3.0,81.0,78.0,6.0,5.0,00:30:00,2022-03-03,1.0,-1.0,WON,LOST,14.0
Copa do Brasil,Ferroviaria SP,0.0,1.0,Vasco Da Gama RJ,10.0,4.0,113.0,86.0,23.0,4.0,00:30:00,2022-03-03,-1.0,1.0,LOST,WON,14.0
Copa do Brasil,Costa Rica EC,0.0,3.0,ABC,3.0,2.0,74.0,81.0,8.0,14.0,00:00:00,2022-03-03,-3.0,3.0,LOST,WON,5.0
Copa do Brasil,Gremio Anapolis,0.0,0.0,Juazeirense,1.0,3.0,126.0,103.0,16.0,10.0,23:30:00,2022-03-02,0.0,0.0,DRAW,DRAW,4.0
Copa do Brasil,Trem AP,0.0,3.0,Paysandu,2.0,5.0,88.0,83.0,3.0,6.0,23:30:00,2022-03-02,-3.0,3.0,LOST,WON,7.0
Copa do Brasil,Rio Branco AC,0.0,0.0,Vila Nova,2.0,6.0,22.0,32.0,1.0,2.0,23:00:00,2022-03-02,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Real Noroeste ES,2.0,1.0,Operario PR,5.0,5.0,71.0,76.0,6.0,12.0,22:00:00,2022-03-02,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,AE Altos,1.0,0.0,Sport Recife,7.0,4.0,119.0,110.0,11.0,6.0,22:00:00,2022-03-02,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,CEO Varzeagrandense,1.0,2.0,Sampaio Correa,6.0,8.0,89.0,109.0,15.0,21.0,19:30:00,2022-03-02,-1.0,1.0,LOST,WON,14.0
Copa do Brasil,Ceilandia,2.0,0.0,Londrina,4.0,2.0,106.0,103.0,21.0,8.0,18:30:00,2022-03-02,2.0,-2.0,WON,LOST,6.0
Copa do Brasil,Tuna Luso,1.0,0.0,Gremio Novorizontino,9.0,2.0,65.0,80.0,14.0,16.0,18:30:00,2022-03-02,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,Mirassol,3.0,2.0,Gremio,1.0,8.0,96.0,122.0,11.0,15.0,00:30:00,2022-03-02,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Sousa EC,1.0,1.0,Goias,13.0,3.0,96.0,91.0,12.0,12.0,00:30:00,2022-03-02,0.0,0.0,DRAW,DRAW,16.0
Copa do Brasil,Moto Club de São Luís,3.0,2.0,Chapecoense,2.0,8.0,95.0,101.0,17.0,13.0,22:00:00,2022-03-01,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Pouso Alegre,2.0,0.0,Parana,9.0,7.0,102.0,116.0,18.0,7.0,22:00:00,2022-03-01,2.0,-2.0,WON,LOST,16.0
